Species,PriceCateg,Weight,Length
Apteronotus camposdapazi,unknown,NA,NA
Apteronotus caudimaculosus,unknown,NA,28.68
Apteronotus cuchillejo,unknown,NA,18.9
Apteronotus cuchillo,unknown,NA,39
Apteronotus ellisi,unknown,NA,32.8
Apteronotus eschmeyeri,unknown,NA,32
Apteronotus galvisi,NA,NA,18.44
Apteronotus jurubidae,unknown,NA,25.3
Apteronotus leptorhynchus,unknown,NA,26.9
Apteronotus lindalvae,NA,NA,33.3
Apteronotus macrolepis,unknown,NA,18
Apteronotus macrostomus,unknown,NA,26
Apteronotus magdalenensis,unknown,NA,129
Apteronotus magoi,unknown,NA,NA
Apteronotus mariae,unknown,61.4,27.3
Apteronotus milesi,unknown,NA,22.1
Apteronotus rostratus,unknown,NA,27.2
Apteronotus spurrellii,unknown,NA,27
Apterygocampus epinnulatus,unknown,NA,3
Aptocyclus ventricosus,unknown,2300,41
Aptychotrema rostrata,medium,NA,100
Aptychotrema timorensis,NA,NA,58.2
Aptychotrema vincentiana,medium,NA,84
Arabibarbus arabicus,unknown,NA,25.3
Arabibarbus grypus,unknown,30000,150
Arabibarbus hadhrami,NA,NA,20.5
Aracana aurita,unknown,NA,20
Aracana ornata,unknown,NA,15
Araiocypris batodes,NA,NA,3.32
Araiophos eastropas,unknown,NA,NA
Arapaima agassizii,NA,NA,NA
Arapaima gigas,unknown,200000,450
Arapaima leptosoma,NA,NA,77.6
Arapaima mapae,NA,NA,203
Archamia bleekeri,high,NA,10
Archiaphyosemion guineense,unknown,NA,7
Archistes biseriatus,low,110,17
Archistes plumarius,low,NA,7.2
Archocentrus centrarchus,unknown,NA,11
Archolaemus blax,unknown,NA,43.5
Archolaemus ferreirai,NA,NA,34.2
Archolaemus janeae,NA,NA,40.2
Archolaemus luciae,NA,NA,49.7
Archolaemus orientalis,NA,NA,NA
Archolaemus santosi,NA,NA,21.2
Archoplites interruptus,unknown,1440,73
Archosargus pourtalesii,very high,NA,35.6
Archosargus probatocephalus,low,9630,91
Archosargus rhomboidalis,very high,550,33
Arcos decoris,unknown,NA,2.8
Arcos erythrops,unknown,NA,3.5
Arcos nudus,unknown,NA,9
Arcos poecilophthalmos,unknown,NA,5
Arcos rhodospilus,unknown,NA,5
Arctogadus glacialis,very high,NA,32.5
Arctoscopus japonicus,very high,200,30
Arctozenus risso,unknown,NA,30
Arcygobius baliurus,very high,NA,10.16
Arenigobius bifrenatus,very high,NA,7.6
Arenigobius frenatus,very high,NA,11
Arenigobius leftwichi,very high,NA,NA
Argentina aliceae,high,NA,15
Argentina australiae,high,NA,13
Argentina brasiliensis,NA,NA,NA
Argentina brucei,high,NA,15
Argentina elongata,high,NA,NA
Argentina euchus,high,NA,15
Argentina georgei,high,NA,14.6
Argentina kagoshimae,high,NA,NA
Argentina sialis,high,NA,22
Argentina silus,very high,NA,70
Argentina sphyraena,high,NA,35
Argentina stewarti,high,NA,16.6
Argentina striata,high,NA,24
Argentinolycus elongatus,unknown,NA,14.7
Argonectes longiceps,unknown,NA,24.5
Argonectes robertsi,unknown,483,35.5
Argopleura chocoensis,unknown,NA,5.28
Argopleura conventus,unknown,NA,3.6
Argopleura diquensis,unknown,NA,4.69
Argopleura magdalenensis,unknown,2.04,5.3
Argyripnus atlanticus,unknown,NA,7.7
Argyripnus brocki,unknown,NA,8.9
Argyripnus electronus,unknown,NA,NA
Argyripnus ephippiatus,unknown,NA,8.9
Argyripnus hulleyi,NA,NA,7.3
Argyripnus iridescens,unknown,NA,14
Argyripnus pharos,NA,NA,7.89
Argyrocottus zanderi,low,NA,9
Argyropelecus aculeatus,unknown,NA,8.3
Argyropelecus affinis,unknown,NA,8.4
Argyropelecus gigas,unknown,NA,12
Argyropelecus hemigymnus,unknown,1.4,5.1
Argyropelecus lychnus,unknown,NA,5.9
Argyropelecus olfersii,unknown,NA,9
Argyropelecus sladeni,unknown,NA,7
Argyrops bleekeri,very high,NA,40
Argyrops filamentosus,very high,NA,70
Argyrops megalommatus,very high,NA,NA
Argyrops spinifer,high,NA,70
Argyrosomus amoyensis,medium,NA,40
Argyrosomus beccus,medium,NA,23
Argyrosomus coronus,medium,77000,200
Argyrosomus heinii,medium,NA,60
Argyrosomus hololepidotus,very high,71000,200
Argyrosomus inodorus,medium,36300,145
Argyrosomus japonicus,medium,75000,181
Argyrosomus regius,medium,103000,230
Argyrosomus thorpei,medium,12000,71
Argyrozona argyrozona,low,3500,90
Arhynchobatis asperrimus,medium,NA,75
Ariomma bondi,unknown,NA,30
Ariomma brevimanum,unknown,NA,80
Ariomma indicum,high,NA,25
Ariomma luridum,unknown,NA,35
Ariomma melanum,unknown,NA,30
Ariomma parini,unknown,NA,18.8
Ariomma regulus,unknown,NA,25
Ariopsis assimilis,medium,NA,35
Ariopsis felis,medium,5500,70
Ariopsis guatemalensis,medium,NA,54
Ariopsis seemanni,medium,NA,39.5
Ariosoma anago,medium,NA,60
Ariosoma anagoides,medium,NA,51
Ariosoma anale,medium,NA,36.3
Ariosoma balearicum,medium,NA,35
Ariosoma bauchotae,medium,NA,NA
Ariosoma coquettei,medium,NA,28.1
Ariosoma fasciatum,medium,NA,60
Ariosoma gilberti,medium,NA,27
Ariosoma howensis,medium,NA,NA
Ariosoma major,medium,NA,53
Ariosoma marginatum,medium,NA,38
Ariosoma mauritianum,medium,NA,30
Ariosoma meeki,medium,NA,53
Ariosoma megalops,medium,NA,14.9
Ariosoma mellissii,medium,NA,42.8
Ariosoma multivertebratum,medium,NA,54.2
Ariosoma nigrimanum,medium,NA,33.5
Ariosoma obud,medium,NA,NA
Ariosoma ophidiophthalmus,medium,NA,NA
Ariosoma opistophthalmum,unknown,NA,27.2
Ariosoma prorigerum,medium,NA,35
Ariosoma sanzoi,NA,NA,NA
Ariosoma sazonovi,medium,NA,NA
Ariosoma scheelei,medium,NA,20
Ariosoma selenops,medium,NA,NA
Ariosoma sereti,medium,NA,NA
Ariosoma shiroanago,medium,NA,40
Ariosoma sokotranum,medium,NA,NA
Aristochromis christyi,unknown,NA,30
Aristostomias grimaldii,unknown,NA,18.2
Aristostomias lunifer,unknown,NA,17
Aristostomias polydactylus,unknown,NA,22
Aristostomias scintillans,unknown,NA,23
Aristostomias tittmanni,unknown,NA,21.5
Aristostomias xenostoma,unknown,NA,15
Arius acutirostris,medium,NA,40
Arius africanus,medium,NA,45
Arius arenarius,medium,NA,29
Arius arius,medium,NA,40
Arius brunellii,medium,NA,35
Arius cous,medium,NA,NA
Arius dispar,medium,NA,34
Arius festinus,medium,NA,15.14
Arius gagora,medium,NA,91.4
Arius gigas,medium,50000,165
Arius jella,medium,500,30
Arius latiscutatus,medium,NA,85
Arius leptonotacanthus,medium,NA,21.1
Arius macracanthus,medium,NA,NA
Arius maculatus,medium,NA,80
Arius madagascariensis,medium,NA,70
Arius malabaricus,medium,NA,NA
Arius manillensis,medium,NA,29.6
Arius microcephalus,medium,NA,60
Arius nudidens,medium,NA,NA
Arius oetik,medium,NA,22.5
Arius subrostratus,medium,NA,39.5
Arius sumatranus,medium,NA,32
Arius uncinatus,medium,NA,19.92
Arius venosus,medium,NA,30
Arnoglossus andrewsi,very high,NA,22.55
Arnoglossus arabicus,very high,NA,10.5
Arnoglossus armstrongi,very high,NA,16.85
Arnoglossus aspilos,very high,NA,19
Arnoglossus bassensis,very high,NA,25
Arnoglossus boops,very high,NA,NA
Arnoglossus brunneus,NA,NA,18.3
Arnoglossus capensis,very high,NA,20
Arnoglossus coeruleosticta,medium,NA,NA
Arnoglossus dalgleishi,very high,NA,19
Arnoglossus debilis,NA,NA,17
Arnoglossus elongatus,NA,NA,11
Arnoglossus fisoni,NA,NA,13
Arnoglossus grohmanni,NA,NA,NA
Arnoglossus imperialis,very high,NA,25
Arnoglossus japonicus,NA,NA,17
Arnoglossus kessleri,very high,NA,10
Arnoglossus laterna,NA,NA,25
Arnoglossus macrolophus,very high,NA,13
Arnoglossus marisrubri,very high,NA,NA
Arnoglossus micrommatus,very high,NA,13.1
Arnoglossus muelleri,very high,NA,21
Arnoglossus multirastris,very high,NA,NA
Arnoglossus nigrifrons,very high,NA,NA
Arnoglossus nigrofilamentosus,NA,NA,9.66
Arnoglossus oxyrhynchus,NA,NA,22
Arnoglossus polyspilus,NA,NA,24
Arnoglossus rueppelii,NA,NA,15
Arnoglossus sayaensis,very high,NA,14.7
Arnoglossus scapha,very high,NA,28.09
Arnoglossus septemventralis,very high,NA,NA
Arnoglossus tapeinosoma,very high,NA,12.7
Arnoglossus tenuis,NA,NA,12
Arnoglossus thori,very high,NA,18
Arnoglossus waitei,NA,NA,13
Arnoglossus yamanakai,very high,NA,NA
Arnoldichthys spilopterus,unknown,NA,9.6
Arothron caeruleopunctatus,NA,NA,80
Arothron carduus,very high,NA,NA
Arothron diadematus,very high,NA,30
Arothron firmamentum,very high,NA,35
Arothron gillbanksii,very high,NA,NA
Arothron hispidus,very high,2010,50
Arothron immaculatus,very high,NA,30
Arothron inconditus,very high,NA,40
Arothron leopardus,very high,NA,NA
Arothron manilensis,very high,NA,31
Arothron mappa,very high,NA,65
Arothron meleagris,very high,NA,50
Arothron multilineatus,NA,NA,43
Arothron nigropunctatus,very high,NA,33
Arothron reticularis,NA,NA,45
Arothron stellatus,NA,NA,120
Arotrolepis filicauda,unknown,NA,22
Arrhamphus krefftii,unknown,NA,28
Arrhamphus sclerolepis,unknown,NA,36
Arripis georgianus,very high,800,41
Arripis trutta,very high,9400,89
Arripis truttacea,unknown,10500,96
Arripis xylabion,unknown,NA,85
Artedidraco glareobarbatus,unknown,NA,NA
Artedidraco lonnbergi,unknown,NA,11
Artedidraco mirus,unknown,NA,12.5
Artedidraco orianae,unknown,NA,15.1
Artedidraco shackletoni,unknown,NA,14.6
Artedidraco skottsbergi,unknown,NA,10
Artediellichthys nigripinnis,low,NA,13.7
Artediellina antilope,low,NA,NA
Artedielloides auriculatus,low,NA,6
Artediellus aporosus,low,NA,NA
Artediellus atlanticus,low,NA,15
Artediellus camchaticus,NA,370,16.5
Artediellus dydymovi,low,NA,8
Artediellus fuscimentus,low,NA,6
Artediellus gomojunovi,low,NA,NA
Artediellus ingens,low,NA,NA
Artediellus miacanthus,low,NA,NA
Artediellus minor,low,NA,4.1
Artediellus neyelovi,low,NA,9
Artediellus ochotensis,low,NA,9
Artediellus pacificus,low,NA,5.7
Artediellus scaber,low,NA,8.4
Artediellus schmidti,low,NA,NA
Artediellus uncinatus,low,NA,10
Artedius corallinus,low,NA,14
Artedius fenestralis,low,NA,14
Artedius harringtoni,low,NA,10
Artedius lateralis,low,NA,14
Artedius notospilotus,low,NA,25
Aruma histrio,very high,NA,6.5
Asarcenchelys longimanus,unknown,NA,NA
Ascelichthys rhodorus,low,NA,15
Asemichthys taylori,low,NA,7.6
Aseraggodes albidus,NA,NA,2.93
Aseraggodes andersoni,NA,NA,2.35
Aseraggodes auroculus,very high,NA,3.55
Aseraggodes bahamondei,very high,NA,20
Aseraggodes beauforti,NA,NA,4.92
Aseraggodes borehami,very high,NA,10.28
Aseraggodes brevirostris,very high,NA,NA
Aseraggodes chapleaui,NA,NA,3.55
Aseraggodes cheni,NA,NA,7.45
Aseraggodes corymbus,NA,NA,NA
Aseraggodes crypticus,NA,NA,4.86
Aseraggodes cyaneus,very high,NA,8.3
Aseraggodes cyclurus,very high,NA,7.33
Aseraggodes diringeri,very high,NA,10.4
Aseraggodes dubius,very high,NA,8.5
Aseraggodes filiger,very high,NA,110
Aseraggodes firmisquamis,very high,NA,NA
Aseraggodes guttulatus,very high,NA,7.9
Aseraggodes haackeanus,very high,NA,14
Aseraggodes heemstrai,very high,NA,8.67
Aseraggodes heraldi,very high,NA,4.7
Aseraggodes herrei,NA,NA,15
Aseraggodes holcomi,very high,NA,3.6
Aseraggodes jenny,very high,NA,5.63
Aseraggodes kaianus,very high,NA,14
Aseraggodes kimurai,NA,NA,7.17
Aseraggodes kobensis,very high,NA,10
Aseraggodes kruppi,NA,NA,2.4
Aseraggodes lateralis,very high,NA,6.42
Aseraggodes lenisquamis,very high,NA,10.2
Aseraggodes longipinnis,NA,NA,5.48
Aseraggodes macronasus,NA,NA,6.15
Aseraggodes magnoculus,very high,NA,3.98
Aseraggodes martine,NA,NA,NA
Aseraggodes matsuurai,NA,NA,5.51
Aseraggodes melanostictus,very high,NA,6
Aseraggodes microlepidotus,very high,NA,NA
Aseraggodes nigrocirratus,very high,NA,8.94
Aseraggodes normani,very high,NA,13.2
Aseraggodes orientalis,NA,NA,4.43
Aseraggodes pelvicus,very high,NA,6.75
Aseraggodes ramsaii,very high,NA,6.35
Aseraggodes satapoomini,NA,NA,4.48
Aseraggodes senoui,NA,NA,4.33
Aseraggodes sinusarabici,very high,NA,7.9
Aseraggodes steinitzi,very high,NA,3.6
Aseraggodes suzumotoi,NA,NA,NA
Aseraggodes texturatus,very high,NA,7.74
Aseraggodes therese,very high,NA,6.6
Aseraggodes umbratilis,very high,NA,7.75
Aseraggodes whitakeri,very high,NA,4
Aseraggodes winterbottomi,NA,NA,4.63
Aseraggodes xenicus,very high,NA,8
Aseraggodes zizette,NA,NA,3.63
Askoldia variegata,unknown,NA,45
Aspasma minima,unknown,NA,5
Aspasmichthys alorensis,NA,NA,0.82
Aspasmichthys ciconiae,unknown,NA,5
Aspasmodes briggsi,unknown,NA,2.54
Aspasmogaster costata,unknown,NA,5
Aspasmogaster liorhyncha,unknown,NA,4.5
Aspasmogaster occidentalis,unknown,NA,NA
Aspasmogaster tasmaniensis,unknown,NA,8
Aspericorvina jubata,medium,NA,16
Aspidontus dussumieri,unknown,NA,12
Aspidontus taeniatus,unknown,NA,11.5
Aspidontus tractus,unknown,NA,10
Aspidoparia jaya,unknown,NA,15
Aspidoparia ukhrulensis,unknown,NA,NA
Aspidophoroides monopterygius,unknown,NA,22
Aspidophoroides olrikii,unknown,NA,8.6
Aspidoras albater,unknown,NA,3.56
Aspidoras belenos,unknown,NA,2.79
Aspidoras brunneus,unknown,NA,2.13
Aspidoras carvalhoi,unknown,NA,2.54
Aspidoras depinnai,unknown,NA,3.25
Aspidoras eurycephalus,unknown,NA,3
Aspidoras fuscoguttatus,unknown,NA,3.8
Aspidoras gabrieli,NA,NA,3.66
Aspidoras lakoi,unknown,NA,4
Aspidoras maculosus,unknown,NA,3.37
Aspidoras marianae,NA,NA,2.85
Aspidoras menezesi,unknown,NA,4.18
Aspidoras microgalaeus,unknown,NA,3.32
Aspidoras pauciradiatus,unknown,NA,2.9
Aspidoras poecilus,unknown,NA,3.53
Aspidoras psammatides,unknown,NA,3.1
Aspidoras raimundi,unknown,NA,3.26
Aspidoras rochai,unknown,NA,4
Aspidoras spilotus,unknown,NA,3.4
Aspidoras taurus,unknown,NA,5.41
Aspidoras velites,unknown,NA,2.79
Aspidoras virgulatus,unknown,NA,3.61
Aspiolucius esocinus,unknown,NA,50
Aspiorhynchus laticeps,unknown,NA,126
Aspistor hardenbergi,medium,NA,25.4
Aspistor luniscutis,medium,144,120
Aspistor quadriscutis,medium,33.3,50
Aspredinichthys filamentosus,unknown,NA,21.8
Aspredinichthys tibicen,unknown,NA,24.3
Aspredo aspredo,unknown,NA,38.3
Asprocottus abyssalis,unknown,NA,NA
Asprocottus herzensteini,unknown,NA,11.5
Asprocottus intermedius,unknown,NA,NA
Asprocottus korjakovi,unknown,NA,NA
Asprocottus minor,unknown,NA,NA
Asprocottus parmiferus,unknown,NA,NA
Asprocottus platycephalus,unknown,NA,10.5
Asprocottus pulcher,unknown,NA,NA
Asquamiceps caeruleus,unknown,NA,33.7
Asquamiceps hjorti,unknown,NA,25.3
Asquamiceps longmani,unknown,NA,NA
Asquamiceps velaris,unknown,NA,17.4
Assessor flavissimus,unknown,NA,6
Assessor macneilli,unknown,NA,6
Assessor randalli,unknown,NA,4
Assiculoides desmonotus,unknown,NA,NA
Assiculus punctatus,unknown,NA,8
Assurger anzac,medium,NA,250
Astatheros macracanthus,unknown,NA,25
Astatoreochromis alluaudi,unknown,NA,19
Astatoreochromis straeleni,unknown,NA,12
Astatoreochromis vanderhorsti,unknown,NA,13
Astatotilapia bloyeti,unknown,NA,15
Astatotilapia burtoni,unknown,NA,15
Astatotilapia calliptera,unknown,NA,15
Astatotilapia desfontainii,unknown,NA,15
Astatotilapia flaviijosephi,unknown,NA,12.8
Astatotilapia stappersii,unknown,NA,15
Astatotilapia swynnertoni,unknown,NA,9.5
Astatotilapia tchadensis,NA,NA,9.83
Astatotilapia tweddlei,unknown,NA,9.03
Asterophysus batrachus,unknown,NA,25
Asterorhombus cocosensis,very high,NA,11.97
Asterorhombus filifer,very high,NA,NA
Asterorhombus intermedius,very high,NA,20
Asterropteryx atripes,very high,NA,2.19
Asterropteryx bipunctata,very high,NA,3.11
Asterropteryx ensifera,very high,NA,3
Asterropteryx ovata,NA,NA,2.72
Asterropteryx semipunctata,very high,NA,6.5
Asterropteryx senoui,NA,NA,2.49
Asterropteryx spinosa,very high,NA,4.57
Asterropteryx striata,very high,NA,2.32
Asthenomacrurus fragilis,medium,NA,20
Asthenomacrurus victoris,medium,NA,24.9
Astrabe fasciata,very high,NA,4.8
Astrabe flavimaculata,very high,NA,3.14
Astrabe lactisella,very high,NA,4
Astrapogon alutus,high,NA,6.5
Astrapogon puncticulatus,high,NA,8
Astrapogon stellatus,high,NA,8
Astroblepus acostai,NA,NA,3.04
Astroblepus ardiladuartei,NA,NA,NA
Astroblepus ardilai,NA,NA,10.65
Astroblepus bellezaensis,NA,NA,10.73
Astroblepus boulengeri,unknown,NA,7
Astroblepus brachycephalus,unknown,NA,20
Astroblepus cacharas,NA,NA,5.92
Astroblepus caquetae,unknown,NA,8.7
Astroblepus chapmani,unknown,NA,8
Astroblepus chimborazoi,unknown,NA,2.5
Astroblepus chotae,unknown,NA,10
Astroblepus cirratus,unknown,NA,5.5
Astroblepus cyclopus,unknown,NA,4.91
Astroblepus eigenmanni,unknown,NA,10
Astroblepus festae,unknown,NA,10
Astroblepus fissidens,unknown,NA,9
Astroblepus formosus,unknown,NA,5
Astroblepus frenatus,unknown,NA,6
Astroblepus grixalvii,unknown,NA,30
Astroblepus guentheri,unknown,NA,9
Astroblepus heterodon,unknown,NA,11
Astroblepus homodon,unknown,NA,8
Astroblepus itae,NA,NA,6.8
Astroblepus jimenezae,NA,NA,NA
Astroblepus jurubidae,unknown,NA,5
Astroblepus labialis,unknown,NA,7
Astroblepus latidens,unknown,NA,8
Astroblepus longiceps,unknown,NA,6
Astroblepus longifilis,unknown,NA,7
Astroblepus mancoi,unknown,NA,10.2
Astroblepus mariae,unknown,NA,10
Astroblepus marmoratus,unknown,NA,7
Astroblepus martinezi,NA,NA,NA
Astroblepus micrescens,unknown,NA,9
Astroblepus mindoensis,unknown,NA,7.85
Astroblepus mojicai,NA,NA,NA
Astroblepus nettoferreirai,NA,NA,12.13
Astroblepus nicefori,unknown,NA,7
Astroblepus orientalis,unknown,NA,8
Astroblepus ortegai,NA,NA,9.28
Astroblepus peruanus,unknown,NA,6
Astroblepus phelpsi,unknown,NA,7
Astroblepus pholeter,unknown,NA,7
Astroblepus pirrensis,unknown,NA,13
Astroblepus praeliorum,unknown,NA,8
Astroblepus prenadillus,unknown,NA,20
Astroblepus putumayoensis,NA,NA,5.46
Astroblepus quispei,NA,NA,4.8
Astroblepus regani,unknown,NA,16
Astroblepus rengifoi,unknown,NA,5
Astroblepus retropinnus,unknown,NA,7
Astroblepus riberae,unknown,NA,9
Astroblepus rosei,unknown,NA,10
Astroblepus sabalo,unknown,NA,NA
Astroblepus santanderensis,unknown,NA,8
Astroblepus simonsii,unknown,NA,8
Astroblepus stuebeli,unknown,NA,8
Astroblepus supramollis,unknown,NA,8
Astroblepus taczanowskii,unknown,NA,8
Astroblepus theresiae,unknown,NA,8
Astroblepus trifasciatus,unknown,NA,9
Astroblepus ubidiai,unknown,NA,11
Astroblepus unifasciatus,unknown,NA,7
Astroblepus vaillanti,unknown,NA,10
Astroblepus vanceae,unknown,NA,8
Astroblepus ventralis,unknown,NA,8
Astroblepus whymperi,unknown,NA,9
Astrocottus leprops,low,NA,5
Astrocottus matsubarae,low,NA,5
Astrocottus oyamai,low,NA,5
Astrocottus regulus,NA,NA,4.21
Astrodoras asterifrons,unknown,NA,8.11
Astronesthes atlanticus,unknown,NA,16.3
Astronesthes bilobatus,unknown,NA,20.8
Astronesthes boulengeri,unknown,NA,21
Astronesthes caulophorus,unknown,NA,26.2
Astronesthes chrysophekadion,unknown,NA,13.4
Astronesthes cyaneus,unknown,NA,10.8
Astronesthes decoratus,unknown,NA,NA
Astronesthes dupliglandis,unknown,NA,7.2
Astronesthes exsul,unknown,NA,NA
Astronesthes fedorovi,unknown,NA,NA
Astronesthes formosana,NA,NA,9.5
Astronesthes galapagensis,unknown,NA,18.3
Astronesthes gemmifer,unknown,NA,17
Astronesthes gibbsi,unknown,NA,7.1
Astronesthes gudrunae,unknown,NA,NA
Astronesthes haplophos,unknown,NA,NA
Astronesthes ijimai,unknown,NA,15
Astronesthes illuminatus,unknown,NA,15.5
Astronesthes indicus,unknown,NA,21
Astronesthes indopacificus,unknown,NA,21
Astronesthes karsteni,unknown,NA,NA
Astronesthes kreffti,unknown,NA,24.58
Astronesthes lamellosus,unknown,NA,NA
Astronesthes lampara,unknown,NA,13.4
Astronesthes leucopogon,unknown,NA,12
Astronesthes lucibucca,unknown,NA,10
Astronesthes lucifer,unknown,NA,12
Astronesthes luetkeni,unknown,NA,9.5
Astronesthes lupina,unknown,NA,NA
Astronesthes macropogon,unknown,NA,14
Astronesthes martensii,unknown,NA,14
Astronesthes micropogon,unknown,NA,8.2
Astronesthes neopogon,unknown,NA,19.2
Astronesthes niger,unknown,NA,16
Astronesthes nigroides,unknown,NA,12.8
Astronesthes oligoa,unknown,NA,NA
Astronesthes psychrolutes,unknown,NA,28
Astronesthes quasiindicus,unknown,NA,11.5
Astronesthes richardsoni,unknown,NA,15.9
Astronesthes similus,unknown,NA,15
Astronesthes spatulifer,unknown,NA,NA
Astronesthes splendidus,unknown,NA,12
Astronesthes tanibe,unknown,NA,15.1
Astronesthes tatyanae,unknown,NA,11.2
Astronesthes tchuvasovi,unknown,NA,NA
Astronesthes trifibulatus,unknown,NA,15
Astronesthes zetgibbsi,unknown,NA,NA
Astronesthes zharovi,unknown,NA,NA
Astronotus crassipinnis,unknown,NA,24
Astronotus ocellatus,unknown,1580,45.7
Astroscopus guttatus,unknown,9100,59
Astroscopus sexspinosus,unknown,NA,31
Astroscopus y-graecum,unknown,NA,44
Astroscopus zephyreus,unknown,NA,37.5
Astyanacinus moorii,unknown,NA,10
Astyanacinus multidens,unknown,NA,14
Astyanacinus yariguies,NA,NA,7.74
Astyanax abramis,unknown,29.7,14
Astyanax acatlanensis,NA,NA,7.49
Astyanax aeneus,unknown,NA,7.5
Astyanax ajuricaba,NA,NA,9.52
Astyanax altior,unknown,NA,NA
Astyanax altiparanae,unknown,NA,16.4
Astyanax angustifrons,unknown,NA,NA
Astyanax anterior,unknown,NA,11.13
Astyanax aramburui,unknown,NA,6.11
Astyanax argyrimarginatus,unknown,NA,4.529
Astyanax asuncionensis,unknown,NA,15
Astyanax atratoensis,unknown,NA,10.34
Astyanax aurocaudatus,unknown,NA,6
Astyanax bacalarensis,NA,NA,9.48
Astyanax bagual,NA,NA,7.84
Astyanax baileyi,unknown,NA,6.85
Astyanax bifasciatus,NA,NA,12.92
Astyanax bimaculatus,unknown,91.6,17.5
Astyanax biotae,unknown,NA,5.2
Astyanax bockmanni,NA,NA,17.3
Astyanax bourgeti,unknown,NA,NA
Astyanax brachypterygium,unknown,NA,6.42
Astyanax bransfordii,unknown,NA,15
Astyanax brevirhinus,unknown,NA,10
Astyanax burgerai,NA,NA,5.44
Astyanax caucanus,unknown,NA,NA
Astyanax chaparae,unknown,NA,NA
Astyanax chico,unknown,NA,NA
Astyanax clavitaeniatus,unknown,NA,7.24
Astyanax cocibolca,NA,NA,5.36
Astyanax cordovae,unknown,NA,NA
Astyanax correntinus,unknown,NA,NA
Astyanax courensis,NA,NA,7.16
Astyanax cremnobates,unknown,NA,8.91
Astyanax cubilhuitz,NA,NA,5.3
Astyanax daguae,unknown,NA,4
Astyanax depressirostris,unknown,NA,NA
Astyanax dissensus,NA,NA,8.42
Astyanax dissimilis,NA,NA,13.58
Astyanax dnophos,unknown,NA,3.32
Astyanax dorioni,unknown,NA,19.3
Astyanax douradilho,NA,NA,9
Astyanax eigenmanniorum,unknown,36.3,14.4
Astyanax elachylepis,unknown,NA,NA
Astyanax endy,unknown,NA,NA
Astyanax epiagos,NA,NA,5.93
Astyanax eremus,NA,NA,9.95
Astyanax erythropterus,unknown,NA,NA
Astyanax fasciatus,unknown,69.7,17.1
Astyanax fasslii,unknown,NA,NA
Astyanax festae,unknown,NA,NA
Astyanax filiferus,unknown,NA,8.46
Astyanax gisleni,unknown,NA,NA
Astyanax giton,unknown,NA,8
Astyanax goyacensis,unknown,NA,NA
Astyanax goyanensis,unknown,NA,9
Astyanax gracilior,unknown,NA,NA
Astyanax guaporensis,unknown,NA,NA
Astyanax guaricana,NA,NA,9.56
Astyanax guianensis,unknown,NA,6
Astyanax gymnodontus,unknown,NA,17
Astyanax gymnogenys,unknown,NA,11.52
Astyanax hamatilis,NA,NA,4.37
Astyanax hastatus,unknown,NA,NA
Astyanax henseli,unknown,NA,11.1
Astyanax hermosus,unknown,NA,NA
Astyanax integer,unknown,NA,NA
Astyanax intermedius,unknown,NA,7.27
Astyanax ita,unknown,NA,6.06
Astyanax jacobinae,NA,NA,5.08
Astyanax jacuhiensis,unknown,NA,14.48
Astyanax janeiroensis,unknown,NA,11.4
Astyanax jenynsii,unknown,NA,7.62
Astyanax joaovitori,NA,NA,7.7
Astyanax jordanensis,NA,NA,7.61
Astyanax jordani,unknown,NA,10
Astyanax kennedyi,unknown,NA,NA
Astyanax keronolepis,NA,NA,10.386
Astyanax kompi,unknown,NA,NA
Astyanax kullanderi,unknown,NA,8.8
Astyanax lacustris,unknown,6.38,7.7
Astyanax latens,unknown,NA,4.43
Astyanax laticeps,unknown,NA,8.9
Astyanax leonidas,unknown,NA,4.56
Astyanax leopoldi,unknown,NA,6
Astyanax lineatus,unknown,NA,12
Astyanax longior,unknown,NA,NA
Astyanax longirhinus,NA,NA,18.6
Astyanax macal,NA,NA,6.72
Astyanax maculisquamis,unknown,NA,7.64
Astyanax magdalenae,unknown,108.1,17.3
Astyanax marionae,unknown,NA,9.1
Astyanax maximus,unknown,NA,25
Astyanax megaspilura,unknown,NA,NA
Astyanax mexicanus,unknown,NA,12
Astyanax microlepis,unknown,NA,9.11
Astyanax microschemos,unknown,NA,5.51
Astyanax minor,NA,NA,10.82
Astyanax multidens,unknown,NA,NA
Astyanax mutator,unknown,NA,NA
Astyanax myersi,unknown,NA,NA
Astyanax nasutus,unknown,NA,10
Astyanax nicaraguensis,unknown,NA,NA
Astyanax novae,NA,NA,3.308
Astyanax obscurus,unknown,NA,NA
Astyanax ocotal,NA,NA,10.51
Astyanax ojiara,unknown,NA,5.05
Astyanax orbignyanus,unknown,NA,NA
Astyanax orthodus,unknown,NA,10.78
Astyanax pampa,unknown,3.4,6.2
Astyanax paraguayensis,unknown,NA,NA
Astyanax parahybae,unknown,NA,16.9
Astyanax paranae,unknown,NA,16.4
Astyanax paranahybae,unknown,NA,NA
Astyanax paris,unknown,NA,8.58
Astyanax pedri,unknown,NA,7.8
Astyanax pelecus,unknown,NA,6
Astyanax pellegrini,unknown,NA,8
Astyanax pirabitira,NA,NA,9.09
Astyanax pirapuan,NA,NA,NA
Astyanax poetzschkei,unknown,NA,NA
Astyanax procerus,NA,NA,11.85
Astyanax puka,NA,NA,5.03
Astyanax pynandi,unknown,NA,NA
