Species,PriceCateg,Weight,Length
Acanthopagrus bifasciatus,high,NA,36.2
Acanthopagrus butcheri,very high,4000,60
Acanthopagrus catenula,NA,NA,36.4
Acanthopagrus chinshira,NA,NA,20.4
Acanthopagrus latus,NA,1500,40
Acanthopagrus longispinnis,NA,NA,20
Acanthopagrus morrisoni,NA,2000,45
Acanthopagrus omanensis,NA,NA,14.5
Acanthopagrus pacificus,NA,NA,50
Acanthopagrus palmaris,very high,NA,40
Acanthopagrus randalli,NA,NA,32.2
Acanthopagrus schlegelii,high,3200,50
Acanthopagrus sheim,NA,NA,30
Acanthopagrus sivicolus,very high,2500,45
Acanthopagrus taiwanensis,very high,NA,18.4
Acanthopagrus vagus,NA,NA,26.2
Acanthoplesiops cappuccino,NA,NA,1.64
Acanthoplesiops echinatus,unknown,NA,4
Acanthoplesiops hiatti,unknown,NA,2.4
Acanthoplesiops indicus,unknown,NA,5
Acanthoplesiops naka,NA,NA,0.99
Acanthoplesiops psilogaster,unknown,NA,2.26
Acanthopoma annectens,unknown,NA,12
Acanthopsetta nadeshnyi,medium,1200,46
Acanthopsoides delphax,unknown,NA,6
Acanthopsoides gracilentus,unknown,NA,6
Acanthopsoides gracilis,unknown,NA,5.4
Acanthopsoides hapalias,unknown,NA,6
Acanthopsoides molobrion,unknown,NA,4.5
Acanthopsoides namromensis,NA,NA,NA
Acanthopsoides robertsi,unknown,NA,5.5
Acanthorhodeus chankaensis,unknown,NA,12
Acanthosphex leurynnis,unknown,NA,3.1
Acanthostracion guineensis,high,NA,18
Acanthostracion notacanthus,high,NA,50
Acanthostracion polygonius,high,152.4,50
Acanthostracion quadricornis,high,NA,55
Acanthurus achilles,medium,NA,24
Acanthurus albimento,NA,NA,25.24
Acanthurus albipectoralis,medium,NA,33
Acanthurus auranticavus,medium,NA,45
Acanthurus bahianus,NA,NA,NA
Acanthurus bariene,medium,NA,50
Acanthurus blochii,medium,NA,45
Acanthurus chirurgus,medium,5100,39
Acanthurus chronixis,NA,NA,28
Acanthurus coeruleus,medium,NA,39
Acanthurus dussumieri,medium,NA,54
Acanthurus fowleri,medium,NA,45
Acanthurus gahhm,medium,NA,40
Acanthurus grammoptilus,medium,900,35
Acanthurus guttatus,medium,NA,26
Acanthurus japonicus,medium,NA,21
Acanthurus leucocheilus,medium,NA,45
Acanthurus leucopareius,medium,NA,25
Acanthurus leucosternon,medium,NA,54
Acanthurus lineatus,medium,NA,38
Acanthurus maculiceps,medium,NA,40
Acanthurus mata,medium,NA,50
Acanthurus monroviae,medium,NA,45
Acanthurus nigricans,medium,NA,21.3
Acanthurus nigricauda,medium,NA,40
Acanthurus nigrofuscus,medium,NA,21
Acanthurus nigroris,medium,NA,25
Acanthurus nubilus,medium,NA,26
Acanthurus olivaceus,medium,NA,35
Acanthurus polyzona,medium,NA,11
Acanthurus pyroferus,medium,NA,29
Acanthurus randalli,medium,NA,18
Acanthurus reversus,medium,NA,34
Acanthurus sohal,medium,NA,40
Acanthurus tennentii,medium,NA,31
Acanthurus thompsoni,medium,NA,27
Acanthurus tractus,medium,NA,38.1
Acanthurus triostegus,medium,NA,27
Acanthurus tristis,medium,NA,25
Acanthurus xanthopterus,medium,NA,70
Acantopsis dialuzona,unknown,NA,25
Acantopsis dinema,NA,NA,11.67
Acantopsis ioa,NA,NA,13.2
Acantopsis multistigmatus,unknown,NA,NA
Acantopsis octoactinotos,unknown,NA,9.6
Acantopsis rungthipae,NA,NA,11.97
Acantopsis spectabilis,NA,NA,30
Acantopsis thiemmedhi,unknown,NA,11.76
Acapoeta tanganicae,unknown,2250,61
Acarichthys heckelii,unknown,NA,13.4
Acarobythites larsonae,unknown,NA,2.52
Acaronia nassa,unknown,NA,15.4
Acaronia vultuosa,unknown,NA,12.2
Acentrogobius audax,very high,NA,10
Acentrogobius caninus,very high,NA,13
Acentrogobius cenderawasih,NA,NA,NA
Acentrogobius chlorostigmatoides,very high,NA,11
Acentrogobius cyanomos,NA,NA,11.5
Acentrogobius dayi,very high,NA,11
Acentrogobius ennorensis,very high,NA,5.8
Acentrogobius griseus,NA,NA,8
Acentrogobius janthinopterus,very high,NA,12.5
Acentrogobius limarius,NA,NA,3.38
Acentrogobius masoni,very high,NA,NA
Acentrogobius moloanus,very high,NA,8
Acentrogobius multifasciatus,very high,NA,NA
Acentrogobius nebulosus,very high,NA,18
Acentrogobius pellidebilis,very high,NA,7
Acentrogobius pflaumii,very high,NA,12
Acentrogobius simplex,very high,NA,10
Acentrogobius suluensis,very high,NA,3.3
Acentrogobius therezieni,very high,NA,10
Acentrogobius vanderloosi,NA,NA,4.77
Acentrogobius viganensis,very high,NA,NA
Acentrogobius violarisi,NA,NA,NA
Acentrogobius viridipunctatus,NA,NA,16.5
Acentronichthys leptos,unknown,NA,11
Acentronura breviperula,NA,NA,5
Acentronura gracilissima,unknown,NA,NA
Acentronura tentaculata,unknown,NA,6.3
Acentrophryne dolichonema,unknown,NA,NA
Acentrophryne longidens,unknown,NA,NA
Acestridium colombiense,unknown,NA,4.95
Acestridium dichromum,unknown,NA,6.3
Acestridium discus,unknown,NA,6.7
Acestridium gymnogaster,NA,NA,NA
Acestridium martini,unknown,NA,6.7
Acestridium scutatum,NA,NA,NA
Acestridium triplax,NA,NA,5.55
Acestrocephalus acutus,NA,NA,10.35
Acestrocephalus anomalus,unknown,NA,20
Acestrocephalus boehlkei,unknown,NA,13.5
Acestrocephalus maculosus,NA,NA,NA
Acestrocephalus nigrifasciatus,NA,NA,9.3
Acestrocephalus pallidus,NA,NA,6.05
Acestrocephalus sardina,unknown,NA,13.5
Acestrocephalus stigmatus,NA,45,13.5
Acestrorhynchus abbreviatus,unknown,NA,22
Acestrorhynchus altus,unknown,NA,23.3
Acestrorhynchus britskii,unknown,NA,16.5
Acestrorhynchus falcatus,unknown,255,30
