Species,PriceCateg,Weight,Length
Netuma thalassina,medium,1000,185
Neoarius leptaspis,medium,NA,60
Neoarius utarus,medium,1700,55
Neoarius graeffei,medium,NA,60
Neosilurus hyrtlii,unknown,NA,34
Amphiprion perideraion,unknown,NA,10
Mycteroperca interstitialis,high,10200,84
Chanos chanos,unknown,14000,180
Grammatorcynus bicarinatus,very high,13500,112
Albula vulpes,high,10000,104
Salmo salar,very high,46764,150
Mycteroperca interstitialis,high,10200,84
Mycteroperca interstitialis,high,10200,84
Elagatis bipinnulata,medium,46210,180
Lamna ditropis,unknown,175000,305
Conocara salmoneum,unknown,NA,73
Careproctus rastrinus,unknown,NA,51
Salmo trutta,very high,50000,140
Oncorhynchus mykiss,low,25400,122
Oncorhynchus masou,high,10000,79
Salvelinus namaycush,very high,32650,150
Leptobrama muelleri,unknown,NA,37.5
Arripis truttacea,unknown,10500,96
Arripis trutta,very high,9400,89
Polymixia nobilis,unknown,NA,48
Glossolepis incisus,unknown,NA,12
Choranthias salmopunctatus,very high,NA,6.07
Salvelinus malma,very high,18300,127
Oncorhynchus masou,high,10000,79
Salmo salar,very high,46764,150
Salmo salar,very high,46764,150
Salmo salar,very high,46764,150
Oncorhynchus kisutch,medium,15170,107.95
Cynoscion jamaicensis,medium,1000,50
Leptobrama muelleri,unknown,NA,37.5
Cinetodus froggatti,medium,NA,48
Cinetodus froggatti,medium,NA,48
Otolithes ruber,high,7000,90
Oncorhynchus nerka,very high,7710,84
Oncorhynchus nerka,very high,7710,84
Oncorhynchus nerka,very high,7710,84
Arripis truttacea,unknown,10500,96
Salmo salar,very high,46764,150
Oncorhynchus tshawytscha,very high,61400,150
Oncorhynchus mykiss,low,25400,122
Lates microlepis,unknown,8300,93
Lates mariae,unknown,NA,80
Polydactylus macrochir,very high,45000,170
Arripis truttacea,unknown,10500,96
Dicentrarchus labrax,very high,12000,103
Oncorhynchus kisutch,medium,15170,107.95
Eleutheronema tetradactylum,high,145000,200
Macrodon ancylodon,medium,109.6,45
